plot_id,elevation,canopy_closure,forest_structure_index,deadwood_volume,tree_microhabitats,percent_conifer,mean_dbh,arachnid_richness,collembola_richness,beetle_richness,total_richness
P029,724.3,88.4,0.735,25.43,9,44.0,17.0,32,38,50,47
P030,727.5,88.6,0.202,21.12,6,98.6,36.0,32,17,14,28
P031,1035.5,66.1,0.695,22.32,3,98.5,48.2,19,33,5,25
P032,576.8,54.0,0.861,29.8,9,90.6,38.4,72,167,20,89
P033,557.8,81.3,0.132,12.97,6,79.8,35.5,27,28,2,26
P034,503.5,74.7,0.614,4.61,5,26.9,29.0,6,19,5,20
P035,760.9,57.4,0.095,29.11,4,32.1,34.3,3,20,6,19
P036,853.2,40.7,0.726,4.57,7,54.7,31.7,18,8,8,20
P037,629.5,79.8,0.084,11.04,7,56.1,26.9,22,5,1,15
P038,498.8,50.7,0.936,22.06,11,50.6,31.4,35,30,15,36
P039,501.6,91.2,0.137,22.48,8,63.7,35.8,28,22,20,28
P040,767.1,49.5,0.959,13.34,4,40.8,27.1,74,3,7,41
P041,783.8,42.4,0.801,15.56,6,74.9,26.7,3,46,6,23
P042,747.8,84.9,0.594,20.82,5,33.4,21.8,10,35,3,16
P043,530.2,44.2,0.783,9.81,10,33.1,37.5,52,55,6,42
P044,691.8,45.8,0.795,43.23,10,12.7,38.9,22,157,49,76
P045,671.0,71.0,0.946,8.28,12,18.9,36.1,5,55,15,29
P046,689.4,87.5,0.253,14.43,6,85.1,42.7,32,2,9,25
P047,806.9,46.8,0.59,11.95,2,44.6,34.8,15,44,6,25
P048,690.2,53.6,0.095,18.09,6,22.8,37.5,6,13,14,16
P049,772.2,81.6,0.616,41.85,6,75.9,36.7,18,55,12,33
P050,662.2,93.3,0.171,7.9,6,55.4,33.2,13,4,2,14
P051,702.0,65.0,0.565,22.3,9,2.1,29.2,17,15,13,22
P052,763.6,43.6,0.572,25.0,5,31.6,53.9,7,56,32,40
P053,387.7,35.8,0.466,33.56,10,17.7,29.9,23,128,22,55
P054,592.5,48.8,0.523,9.04,4,65.6,28.0,35,11,7,26
P055,565.3,42.9,0.764,8.74,1,27.5,37.9,26,18,2,23
P056,535.0,75.7,0.799,14.56,5,6.5,36.3,5,11,13,15
P057,600.5,42.3,0.492,14.77,6,5.5,21.4,10,57,8,26
P058,919.1,65.4,0.6,7.44,7,58.2,44.1,15,22,7,22
P059,494.2,76.7,0.931,25.39,3,2.2,33.2,18,18,22,32
P060,824.3,69.9,0.12,23.8,5,84.9,24.0,17,20,11,25
P061,347.1,47.0,0.117,52.72,8,15.5,44.7,5,37,2,16
P062,589.7,83.2,0.088,13.25,6,60.7,39.6,8,14,7,11
P063,679.3,77.9,0.658,7.28,4,44.5,22.6,48,16,1,31
P064,755.5,79.3,0.419,8.27,8,44.3,50.0,19,18,5,21
P065,778.0,42.9,0.774,20.68,1,7.2,39.9,6,30,4,21
P066,792.8,42.4,0.671,9.2,8,80.3,33.9,9,11,1,13
P067,587.2,90.7,0.334,26.58,5,89.3,48.3,16,21,8,23
P068,566.8,58.9,0.898,10.1,3,1.1,35.4,5,16,10,19
P069,804.4,53.1,0.763,18.79,4,17.9,33.7,33,11,8,25
P070,615.6,64.3,0.271,15.76,6,90.4,28.1,7,16,7,16
P071,420.4,74.8,0.364,8.19,6,54.9,39.2,24,33,3,26
P072,446.0,92.3,0.314,4.81,7,15.0,38.3,2,34,9,22
P073,484.5,52.2,0.158,35.44,8,20.3,34.1,8,26,14,23
P074,739.5,90.5,0.148,21.08,5,66.0,26.9,5,14,11,20
P075,675.6,36.5,0.936,6.48,9,72.5,35.2,51,4,18,33
P076,774.3,68.3,0.438,7.01,4,59.9,33.4,37,4,14,25
P077,573.1,73.0,0.383,51.78,6,95.3,22.0,30,59,24,47
P078,678.5,41.4,0.73,8.65,9,49.4,20.8,48,15,4,29
P079,762.6,43.4,0.553,19.57,3,30.0,39.1,0,16,5,13
P080,594.3,60.1,0.936,3.88,4,47.7,10.6,18,17,2,19
P081,732.2,93.0,0.78,12.12,6,36.0,35.8,18,20,2,20
P082,530.9,70.8,0.479,27.75,10,22.4,29.7,15,15,14,22
P083,584.7,91.0,0.376,3.37,8,4.6,45.8,7,7,8,15
P084,581.3,83.3,0.987,10.74,5,35.2,29.6,24,29,13,29
P085,434.7,63.0,0.718,10.31,7,71.1,39.9,20,17,24,29
P086,737.7,82.1,0.951,23.57,4,1.8,30.4,3,2,3,6
P087,565.5,36.1,0.118,22.24,6,43.9,35.0,11,65,0,32
P088,652.2,41.5,0.851,23.53,5,64.4,40.6,41,9,39,40
P089,736.5,84.8,0.637,19.39,7,61.0,29.8,34,7,4,24
P090,730.4,82.8,0.122,22.22,5,77.7,43.0,18,19,3,17
P091,769.8,49.0,0.588,5.73,7,81.1,25.1,52,9,4,29
P092,632.3,66.8,0.686,19.47,7,71.2,36.7,47,38,11,37
P093,573.8,71.4,0.012,39.47,11,10.3,42.3,14,22,8,25
P094,635.7,87.1,0.454,16.91,3,47.5,39.9,22,10,15,23
P095,346.3,71.2,0.825,10.38,5,60.3,51.2,31,5,15,28
P096,389.5,59.8,0.295,11.13,7,24.6,27.1,53,14,2,30
P097,411.9,57.5,0.459,37.68,2,4.3,21.6,7,91,6,35
P098,470.5,60.6,0.442,1.41,10,22.4,25.1,12,13,14,21
P099,722.0,74.1,0.302,66.6,7,45.5,39.9,14,239,52,96
P100,487.0,87.0,0.918,2.76,7,41.4,38.5,52,13,11,30
P101,581.9,62.2,0.781,13.46,7,17.7,34.9,22,25,11,24
P102,883.9,49.9,0.111,6.75,4,82.4,23.9,44,3,18,27
P103,585.9,49.2,0.997,23.33,5,92.6,40.9,56,73,10,48
P104,782.8,79.8,0.879,25.95,12,20.1,23.0,20,36,18,30
P105,481.9,84.0,0.284,18.59,7,93.0,44.4,19,33,20,28
P106,613.0,41.3,0.837,14.95,6,1.8,59.7,54,16,30,41
P107,479.0,39.0,0.106,3.55,7,92.5,37.3,40,3,6,21
P108,589.0,70.7,0.999,12.44,4,95.2,39.2,67,13,5,35
P109,801.3,43.8,0.666,14.61,8,1.2,29.6,0,31,5,20
P110,339.1,84.5,0.65,6.81,5,76.3,17.7,2,20,6,17
P111,728.2,53.6,0.09,20.49,5,97.0,28.6,27,35,4,28
P112,692.8,43.6,0.897,18.66,13,90.6,24.2,24,29,9,25
P113,543.1,90.3,0.029,13.08,3,97.1,21.0,24,7,16,21
P114,389.7,44.9,0.241,16.33,10,55.0,49.5,11,18,18,21
P115,663.0,52.1,0.143,12.9,7,7.8,36.5,43,3,4,25
P116,554.7,44.2,0.777,3.65,5,85.0,37.4,52,28,2,36
P117,691.9,41.9,0.198,22.72,5,61.4,31.2,47,77,2,46
P118,653.9,36.3,0.911,1.1,7,61.5,32.4,2,67,2,28
P119,938.3,38.3,0.656,19.87,6,41.7,42.7,28,21,10,26
P120,606.9,45.5,0.036,5.54,4,57.2,33.7,17,11,6,19
P121,465.8,38.2,0.005,20.89,5,15.4,38.8,28,36,12,31
P122,682.3,70.5,0.052,21.37,8,74.0,32.2,33,22,15,31
P123,689.6,75.8,0.606,21.41,6,7.5,30.9,7,6,12,21
P124,894.7,58.6,0.801,27.82,7,73.0,21.3,5,14,9,13
P125,800.3,54.1,0.239,35.51,6,84.9,16.2,19,19,4,21
P126,714.2,65.3,0.849,12.01,4,47.2,31.6,31,10,5,26
P127,913.4,87.5,0.057,27.4,6,51.0,34.5,32,16,19,28
P128,436.0,86.1,0.801,11.8,12,31.2,22.4,7,35,13,23
P129,534.8,37.6,0.928,20.41,5,96.9,33.7,158,43,8,76
P130,483.2,45.9,0.772,30.08,12,73.3,34.5,65,79,22,59
P131,579.8,49.2,0.698,8.73,7,36.9,14.6,3,5,23,16
P132,402.2,50.0,0.838,1.63,9,17.5,25.8,7,4,4,14
P133,764.3,69.3,0.04,8.08,4,22.0,37.7,9,16,6,19
P134,610.0,60.0,0.202,32.92,5,46.4,37.5,16,43,15,31
P135,385.3,38.0,0.125,7.29,8,94.3,23.6,46,4,11,28
P136,467.2,57.4,0.505,31.77,5,73.4,35.4,22,40,13,31
P137,706.4,66.4,0.745,8.12,8,21.5,43.2,10,16,6,16
P138,800.9,41.1,0.63,14.11,6,86.0,41.0,5,9,11,16
P139,1009.4,85.0,0.851,16.38,2,37.8,33.1,14,19,11,26
P140,1174.5,38.1,0.155,7.26,6,85.2,29.8,6,3,11,15
P141,724.6,90.5,0.735,14.23,8,24.2,28.3,19,4,21,22
P142,471.9,40.9,0.193,4.28,5,61.9,38.2,4,6,5,13
P143,266.2,85.6,0.271,12.82,5,92.7,35.8,1,9,11,12
P144,698.2,89.2,0.71,15.45,8,25.8,39.7,5,1,1,8
P145,503.7,93.8,0.98,1.73,6,69.3,35.2,12,23,5,18
P146,575.2,83.1,0.612,8.03,8,98.7,41.4,12,17,6,18
P147,539.8,81.8,0.055,20.0,7,15.1,34.9,5,16,8,19
P148,624.7,73.5,0.616,6.58,7,8.8,41.1,7,27,1,19
P149,841.9,81.7,0.042,22.24,1,67.4,41.8,5,27,16,24
P150,678.3,43.1,0.884,23.68,5,34.0,26.8,20,19,5,20
